baseline,cutoff_time,atm_count,positive_count,top5_hits,top10_hits,top20_hits,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20
Random,2023-05-26,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-06-02,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-06-09,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-06-16,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-06-23,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-06-30,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-07-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-07-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-07-21,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-07-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-08-04,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-08-11,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-08-18,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-08-25,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-09-01,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-09-08,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-09-15,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-09-22,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-09-29,150,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-10-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-10-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-10-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-10-27,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-11-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-11-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-11-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-11-24,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-12-01,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-12-08,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-12-15,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2022-12-30,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-01-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-01-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-01-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-01-27,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-02-03,150,1,1,1,1,0.2,0.1,0.05,1.0,1.0,1.0
n_txs_atm_30d,2023-02-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-02-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-02-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-03-03,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-03-10,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-03-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-03-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-03-31,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-04-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-04-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-04-21,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-04-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-05-05,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-05-12,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-05-19,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-05-26,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-06-02,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-06-09,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-06-16,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-06-23,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-06-30,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-07-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-07-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-07-21,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-07-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-08-04,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-08-11,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-08-18,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-08-25,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-09-01,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-09-08,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-09-15,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-09-22,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-09-29,150,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-10-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-10-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-10-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-10-27,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-11-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-11-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-11-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-11-24,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-12-01,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-12-08,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_30d,2023-12-15,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2022-12-30,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-01-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-01-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-01-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-01-27,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-02-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-02-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-02-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-02-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-03-03,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-03-10,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-03-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-03-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-03-31,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-04-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-04-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-04-21,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-04-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-05-05,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-05-12,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-05-19,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-05-26,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-06-02,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-06-09,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-06-16,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-06-23,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-06-30,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-07-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-07-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-07-21,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-07-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-08-04,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-08-11,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-08-18,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-08-25,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-09-01,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-09-08,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-09-15,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-09-22,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-09-29,150,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-10-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-10-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-10-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-10-27,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-11-03,150,1,0,1,1,0.0,0.1,0.05,0.0,1.0,1.0
n_txs_atm_7d,2023-11-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-11-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-11-24,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-12-01,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
n_txs_atm_7d,2023-12-08,150,1,0,0,1,0.0,0.0,0.05,0.0,0.0,1.0
n_txs_atm_7d,2023-12-15,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2022-12-30,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-01-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-01-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-01-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-01-27,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-02-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-02-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-02-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-02-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-03-03,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-03-10,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-03-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-03-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-03-31,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-04-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-04-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-04-21,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-04-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-05-05,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-05-12,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-05-19,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-05-26,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-06-02,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-06-09,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-06-16,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-06-23,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-06-30,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-07-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-07-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-07-21,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-07-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-08-04,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-08-11,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-08-18,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-08-25,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-09-01,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-09-08,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-09-15,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-09-22,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-09-29,150,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-10-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-10-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-10-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-10-27,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-11-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-11-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-11-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-11-24,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-12-01,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Hist fraud rate,2023-12-08,150,1,0,0,1,0.0,0.0,0.05,0.0,0.0,1.0
Hist fraud rate,2023-12-15,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2022-12-30,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-01-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-01-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-01-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-01-27,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-02-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-02-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-02-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-02-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-03-03,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-03-10,150,1,1,1,1,0.2,0.1,0.05,1.0,1.0,1.0
Target C (XGB E),2023-03-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-03-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-03-31,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-04-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-04-14,150,1,0,1,1,0.0,0.1,0.05,0.0,1.0,1.0
Target C (XGB E),2023-04-21,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-04-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-05-05,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-05-12,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-05-19,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-05-26,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-06-02,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-06-09,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-06-16,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-06-23,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-06-30,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-07-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-07-14,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-07-21,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-07-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-08-04,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-08-11,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-08-18,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-08-25,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-09-01,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-09-08,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-09-15,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-09-22,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-09-29,150,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-10-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-10-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-10-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-10-27,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-11-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-11-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-11-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-11-24,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-12-01,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-12-08,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Target C (XGB E),2023-12-15,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
