event_index,timestamp,atm_id,amount,is_fraud,is_cw,risk_score,severity,confidence,mapping_confidence
67,2023-05-01 05:28:00,59684263-0e0...,315.77,0,0,0.125,LOW,0.3698,0.9512
68,2023-05-01 05:33:00,8df3fb3f-36b...,23.42,0,0,0.125,LOW,0.3778,0.9512
69,2023-05-01 05:45:00,37d50aaa-0ca...,364.92,0,0,0.1595,LOW,0.3633,0.9512
70,2023-05-01 05:48:00,3b1e5d03-563...,92.75,0,0,0.125,LOW,0.3858,0.9512
71,2023-05-01 05:49:00,81697ea2-f5d...,500.0,0,1,0.5645,HIGH,0.3654,0.9512
72,2023-05-01 05:52:00,800f26bb-ab1...,3896.48,0,0,0.125,LOW,0.3858,0.9512
73,2023-05-01 06:03:00,6ded4d28-8bc...,140684.27,0,0,0.125,LOW,0.3858,0.9512
74,2023-05-01 06:04:00,7aee3f20-61f...,8132.3,0,0,0.125,LOW,0.3778,0.9512
75,2023-05-01 06:08:00,fceef9b3-981...,63466.66,0,0,0.125,LOW,0.3858,0.9512
76,2023-05-01 06:09:00,81697ea2-f5d...,157.42,0,0,0.5645,HIGH,0.3734,0.9512
77,2023-05-01 06:09:00,c991fb7a-f5c...,2647.56,0,0,0.125,LOW,0.3938,0.9512
78,2023-05-01 06:15:00,2ec2dfb2-193...,661.92,0,0,0.125,LOW,0.3938,0.9512
79,2023-05-01 06:17:00,81697ea2-f5d...,2000.0,0,1,0.5745,HIGH,0.3832,0.9512
80,2023-05-01 06:17:00,9e342a67-6e2...,7451.1,0,0,0.125,LOW,0.3938,0.9512
81,2023-05-01 06:17:00,5cbba4d0-3c5...,916.42,0,0,0.125,LOW,0.3938,0.9512
82,2023-05-01 06:19:00,59684263-0e0...,36192.35,0,0,0.125,LOW,0.3778,0.9512
83,2023-05-01 06:23:00,8df3fb3f-36b...,8697.93,0,0,0.125,LOW,0.3858,0.9512
84,2023-05-01 06:36:00,37d50aaa-0ca...,1278.23,0,0,0.1595,LOW,0.3713,0.9512
85,2023-05-01 06:38:00,3b1e5d03-563...,1419.46,0,0,0.125,LOW,0.3938,0.9512
86,2023-05-01 06:42:00,7af28f6a-7ed...,74.33,0,0,0.125,LOW,0.3858,0.9512
87,2023-05-01 06:42:00,800f26bb-ab1...,491.16,0,0,0.125,LOW,0.3938,0.9512
88,2023-05-01 06:42:00,81697ea2-f5d...,500.0,1,1,0.7019,HIGH,0.6339,0.9512
89,2023-05-01 06:54:00,7aee3f20-61f...,1250.18,0,0,0.125,LOW,0.3858,0.9512
90,2023-05-01 06:55:00,fceef9b3-981...,1135.87,0,0,0.125,LOW,0.3938,0.9512
91,2023-05-01 06:56:00,81697ea2-f5d...,2000.0,0,1,0.629,HIGH,0.4037,0.9512
92,2023-05-01 07:09:00,c991fb7a-f5c...,932.42,0,0,0.125,LOW,0.4018,0.9512
93,2023-05-01 07:12:00,2ec2dfb2-193...,142.28,0,0,0.125,LOW,0.4018,0.9512
94,2023-05-01 07:12:00,bbdf6837-aab...,476.64,0,0,0.125,LOW,0.3938,0.9512
95,2023-05-01 07:21:00,9e342a67-6e2...,580513.11,0,0,0.125,LOW,0.4018,0.9512
96,2023-05-01 07:26:00,5cbba4d0-3c5...,2852.79,0,0,0.125,LOW,0.4018,0.9512
97,2023-05-01 07:27:00,59684263-0e0...,2201.32,0,0,0.125,LOW,0.3858,0.9512
98,2023-05-01 07:29:00,8df3fb3f-36b...,3596.48,0,0,0.125,LOW,0.3938,0.9512
99,2023-05-01 07:36:00,37d50aaa-0ca...,83.09,0,0,0.1595,LOW,0.3793,0.9512
100,2023-05-01 07:38:00,3b1e5d03-563...,198.07,0,0,0.125,LOW,0.4018,0.9512
101,2023-05-01 07:42:00,7af28f6a-7ed...,349.11,0,0,0.125,LOW,0.3938,0.9512
102,2023-05-01 07:44:00,800f26bb-ab1...,12626.96,0,0,0.125,LOW,0.4018,0.9512
103,2023-05-01 07:46:00,6ded4d28-8bc...,3183.67,0,0,0.125,LOW,0.3938,0.9512
104,2023-05-01 08:02:00,7aee3f20-61f...,955.8,0,0,0.125,LOW,0.3938,0.9512
105,2023-05-01 08:09:00,fceef9b3-981...,1489.51,0,0,0.125,LOW,0.4018,0.9512
106,2023-05-01 08:12:00,81697ea2-f5d...,3138.84,0,0,0.629,HIGH,0.4117,0.9512
107,2023-05-01 08:19:00,c991fb7a-f5c...,34738.49,0,0,0.125,LOW,0.4098,0.9512
108,2023-05-01 08:27:00,2ec2dfb2-193...,4218.89,0,0,0.125,LOW,0.4098,0.9512
109,2023-05-01 08:31:00,bbdf6837-aab...,15135.56,0,0,0.125,LOW,0.4018,0.9512
110,2023-05-01 08:45:00,9e342a67-6e2...,1465.83,0,0,0.125,LOW,0.4098,0.9512
111,2023-05-01 08:47:00,5cbba4d0-3c5...,144249.9,0,0,0.125,LOW,0.4098,0.9512
112,2023-05-01 09:10:00,59684263-0e0...,2461.5,0,0,0.125,LOW,0.3938,0.9512
113,2023-05-01 09:13:00,8df3fb3f-36b...,1305.74,0,0,0.125,LOW,0.4018,0.9512
114,2023-05-01 09:13:00,37d50aaa-0ca...,1976.18,0,0,0.1595,LOW,0.3873,0.9512
115,2023-05-01 09:18:00,81697ea2-f5d...,2000.0,0,1,0.639,HIGH,0.4208,0.9512
116,2023-05-01 09:24:00,7af28f6a-7ed...,529.35,0,0,0.125,LOW,0.4018,0.9512
117,2023-05-01 09:29:00,800f26bb-ab1...,1722.07,0,0,0.125,LOW,0.4098,0.9512
118,2023-05-01 09:33:00,6ded4d28-8bc...,24307.11,0,0,0.125,LOW,0.4018,0.9512
119,2023-05-01 09:34:00,7aee3f20-61f...,5322.13,0,0,0.125,LOW,0.4018,0.9512
120,2023-05-01 09:45:00,fceef9b3-981...,3434.93,0,0,0.125,LOW,0.4098,0.9512
121,2023-05-01 09:51:00,81697ea2-f5d...,10000.0,0,1,0.644,HIGH,0.4293,0.9512
122,2023-05-01 09:52:00,c991fb7a-f5c...,43376.78,0,0,0.125,LOW,0.4178,0.9512
123,2023-05-01 10:12:00,2ec2dfb2-193...,6536.34,0,0,0.125,LOW,0.4178,0.9512
124,2023-05-01 10:22:00,bbdf6837-aab...,1264.43,0,0,0.125,LOW,0.4098,0.9512
125,2023-05-01 10:28:00,9e342a67-6e2...,1108.95,0,0,0.125,LOW,0.4178,0.9512
126,2023-05-01 10:45:00,5cbba4d0-3c5...,665.93,0,0,0.125,LOW,0.4178,0.9512
127,2023-05-01 10:46:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.4373,0.9512
128,2023-05-01 10:49:00,8df3fb3f-36b...,1852.91,0,0,0.125,LOW,0.4098,0.9512
129,2023-05-01 10:52:00,37d50aaa-0ca...,3563.12,0,0,0.1595,LOW,0.3953,0.9512
130,2023-05-01 10:59:00,3b1e5d03-563...,1624.4,0,0,0.125,LOW,0.4098,0.9512
131,2023-05-01 11:07:00,7af28f6a-7ed...,4262.79,0,0,0.125,LOW,0.4098,0.9512
132,2023-05-01 11:15:00,800f26bb-ab1...,282.48,0,0,0.125,LOW,0.4178,0.9512
133,2023-05-01 11:16:00,6ded4d28-8bc...,7817.52,0,0,0.125,LOW,0.4098,0.9512
134,2023-05-01 11:17:00,7aee3f20-61f...,25336.39,0,0,0.125,LOW,0.4098,0.9512
135,2023-05-01 11:19:00,81697ea2-f5d...,3000.0,0,1,0.644,HIGH,0.4453,0.9512
136,2023-05-01 11:19:00,81697ea2-f5d...,2039.87,0,0,0.644,HIGH,0.4533,0.9512
137,2023-05-01 11:31:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.4613,0.9512
138,2023-05-01 11:38:00,2ec2dfb2-193...,1868.02,0,0,0.125,LOW,0.4258,0.9512
139,2023-05-01 11:45:00,bbdf6837-aab...,3448.49,0,0,0.125,LOW,0.4178,0.9512
140,2023-05-01 11:47:00,9e342a67-6e2...,3666.19,0,0,0.125,LOW,0.4258,0.9512
141,2023-05-01 11:49:00,81697ea2-f5d...,5000.0,0,1,0.644,HIGH,0.4693,0.9512
142,2023-05-01 11:49:00,59684263-0e0...,900.16,0,0,0.125,LOW,0.4018,0.9512
143,2023-05-01 11:50:00,8df3fb3f-36b...,583.87,0,0,0.125,LOW,0.4178,0.9512
144,2023-05-01 11:52:00,37d50aaa-0ca...,114.14,0,0,0.1595,LOW,0.4033,0.9512
145,2023-05-01 11:53:00,3b1e5d03-563...,618.47,0,0,0.125,LOW,0.4178,0.9512
146,2023-05-01 11:57:00,7af28f6a-7ed...,514.43,0,0,0.125,LOW,0.4178,0.9512
147,2023-05-01 12:02:00,800f26bb-ab1...,470772.45,0,0,0.125,LOW,0.4258,0.9512
148,2023-05-01 12:09:00,6ded4d28-8bc...,133392.44,0,0,0.125,LOW,0.4178,0.9512
149,2023-05-01 12:10:00,7aee3f20-61f...,71586.44,0,0,0.125,LOW,0.4178,0.9512
150,2023-05-01 12:23:00,fceef9b3-981...,964.57,0,0,0.125,LOW,0.4178,0.9512
151,2023-05-01 12:29:00,81697ea2-f5d...,5000.0,0,1,0.644,HIGH,0.4773,0.9512
152,2023-05-01 12:32:00,c991fb7a-f5c...,531.23,0,0,0.125,LOW,0.4258,0.9512
153,2023-05-01 12:37:00,2ec2dfb2-193...,445.76,0,0,0.125,LOW,0.4338,0.9512
154,2023-05-01 12:42:00,bbdf6837-aab...,527.87,0,0,0.125,LOW,0.4258,0.9512
155,2023-05-01 12:47:00,9e342a67-6e2...,202.61,0,0,0.125,LOW,0.4338,0.9512
156,2023-05-01 12:47:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.4853,0.9512
157,2023-05-01 12:57:00,59684263-0e0...,10813.38,0,0,0.125,LOW,0.4098,0.9512
158,2023-05-01 13:05:00,8df3fb3f-36b...,1547.65,0,0,0.125,LOW,0.4258,0.9512
159,2023-05-01 13:06:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.4933,0.9512
160,2023-05-01 13:09:00,3b1e5d03-563...,29125.46,0,0,0.125,LOW,0.4258,0.9512
161,2023-05-01 13:18:00,7af28f6a-7ed...,2869.56,0,0,0.125,LOW,0.4258,0.9512
162,2023-05-01 13:21:00,81697ea2-f5d...,5000.0,0,1,0.644,HIGH,0.5013,0.9512
163,2023-05-01 13:23:00,6ded4d28-8bc...,9053.45,0,0,0.125,LOW,0.4258,0.9512
164,2023-05-01 13:29:00,7aee3f20-61f...,21224.21,0,0,0.125,LOW,0.4258,0.9512
165,2023-05-01 13:34:00,fceef9b3-981...,382.26,0,0,0.125,LOW,0.4258,0.9512
166,2023-05-01 13:37:00,81697ea2-f5d...,1782.11,0,0,0.644,HIGH,0.5093,0.9512
167,2023-05-01 13:38:00,c991fb7a-f5c...,227.66,0,0,0.125,LOW,0.4338,0.9512
168,2023-05-01 13:43:00,2ec2dfb2-193...,5786.17,0,0,0.125,LOW,0.4418,0.9512
169,2023-05-01 13:44:00,bbdf6837-aab...,971.08,0,0,0.125,LOW,0.4338,0.9512
170,2023-05-01 13:58:00,9e342a67-6e2...,216932.04,0,0,0.125,LOW,0.4418,0.9512
171,2023-05-01 14:01:00,5cbba4d0-3c5...,417.64,0,0,0.125,LOW,0.4258,0.9512
172,2023-05-01 14:06:00,59684263-0e0...,1596.61,0,0,0.125,LOW,0.4178,0.9512
173,2023-05-01 14:10:00,8df3fb3f-36b...,2284.54,0,0,0.125,LOW,0.4338,0.9512
174,2023-05-01 14:14:00,37d50aaa-0ca...,69.55,0,0,0.1595,LOW,0.4113,0.9512
175,2023-05-01 14:17:00,3b1e5d03-563...,79.11,0,0,0.125,LOW,0.4338,0.9512
176,2023-05-01 14:21:00,7af28f6a-7ed...,22903.33,0,0,0.125,LOW,0.4338,0.9512
177,2023-05-01 14:38:00,800f26bb-ab1...,1652.36,0,0,0.125,LOW,0.4338,0.9512
178,2023-05-01 14:40:00,6ded4d28-8bc...,1480.17,0,0,0.125,LOW,0.4338,0.9512
179,2023-05-01 14:53:00,7aee3f20-61f...,145.48,0,0,0.125,LOW,0.4338,0.9512
180,2023-05-01 14:53:00,fceef9b3-981...,3139.61,0,0,0.125,LOW,0.4338,0.9512
181,2023-05-01 14:55:00,81697ea2-f5d...,771.94,0,0,0.644,HIGH,0.5173,0.9512
182,2023-05-01 15:12:00,c991fb7a-f5c...,4022.19,0,0,0.125,LOW,0.4418,0.9512
183,2023-05-01 15:25:00,2ec2dfb2-193...,65.78,0,0,0.125,LOW,0.4498,0.9512
184,2023-05-01 15:29:00,bbdf6837-aab...,20588.54,0,0,0.125,LOW,0.4418,0.9512
185,2023-05-01 15:45:00,9e342a67-6e2...,2902.67,0,0,0.125,LOW,0.4498,0.9512
186,2023-05-01 15:56:00,5cbba4d0-3c5...,6017.15,0,0,0.125,LOW,0.4338,0.9512
187,2023-05-01 16:01:00,59684263-0e0...,18847.63,0,0,0.125,LOW,0.4258,0.9512
188,2023-05-01 16:09:00,8df3fb3f-36b...,133615.51,0,0,0.125,LOW,0.4418,0.9512
189,2023-05-01 16:14:00,37d50aaa-0ca...,47354.57,0,0,0.1595,LOW,0.4193,0.9512
190,2023-05-01 16:16:00,3b1e5d03-563...,15773.91,0,0,0.125,LOW,0.4418,0.9512
191,2023-05-01 16:16:00,7af28f6a-7ed...,3776.83,0,0,0.125,LOW,0.4418,0.9512
192,2023-05-01 16:21:00,800f26bb-ab1...,1849.53,0,0,0.125,LOW,0.4418,0.9512
193,2023-05-01 16:22:00,6ded4d28-8bc...,24845.67,0,0,0.125,LOW,0.4418,0.9512
194,2023-05-01 16:22:00,7aee3f20-61f...,37737.53,0,0,0.125,LOW,0.4418,0.9512
195,2023-05-01 16:29:00,fceef9b3-981...,9439.02,0,0,0.125,LOW,0.4418,0.9512
196,2023-05-01 16:30:00,81697ea2-f5d...,586.17,0,0,0.644,HIGH,0.5253,0.9512
197,2023-05-01 16:31:00,c991fb7a-f5c...,129847.37,0,0,0.125,LOW,0.4498,0.9512
198,2023-05-01 16:36:00,2ec2dfb2-193...,2650.11,0,0,0.125,LOW,0.4578,0.9512
199,2023-05-01 16:40:00,bbdf6837-aab...,26618.34,0,0,0.125,LOW,0.4498,0.9512
200,2023-05-01 16:55:00,9e342a67-6e2...,742.22,0,0,0.125,LOW,0.4578,0.9512
201,2023-05-01 17:13:00,5cbba4d0-3c5...,5006.86,0,0,0.125,LOW,0.4418,0.9512
202,2023-05-01 17:24:00,59684263-0e0...,25457.5,0,0,0.125,LOW,0.4338,0.9512
203,2023-05-01 17:27:00,8df3fb3f-36b...,13846.4,0,0,0.125,LOW,0.4498,0.9512
204,2023-05-01 17:35:00,37d50aaa-0ca...,1292.8,0,0,0.1595,LOW,0.4273,0.9512
205,2023-05-01 17:36:00,3b1e5d03-563...,2028.97,0,0,0.125,LOW,0.4498,0.9512
206,2023-05-01 17:37:00,7af28f6a-7ed...,3412.16,0,0,0.125,LOW,0.4498,0.9512
207,2023-05-01 17:41:00,800f26bb-ab1...,55.76,0,0,0.125,LOW,0.4498,0.9512
208,2023-05-01 17:46:00,6ded4d28-8bc...,15137.49,0,0,0.125,LOW,0.4498,0.9512
209,2023-05-01 17:51:00,7aee3f20-61f...,3061.59,0,0,0.125,LOW,0.4498,0.9512
210,2023-05-01 17:55:00,fceef9b3-981...,438.18,0,0,0.125,LOW,0.4498,0.9512
211,2023-05-01 17:59:00,81697ea2-f5d...,5249.82,0,0,0.644,HIGH,0.5333,0.9512
212,2023-05-01 18:12:00,c991fb7a-f5c...,5371.67,0,0,0.125,LOW,0.4578,0.9512
213,2023-05-01 18:19:00,2ec2dfb2-193...,1063.38,0,0,0.125,LOW,0.4658,0.9512
214,2023-05-01 18:28:00,bbdf6837-aab...,56643.31,0,0,0.125,LOW,0.4578,0.9512
215,2023-05-01 18:30:00,9e342a67-6e2...,46449.02,0,0,0.125,LOW,0.4658,0.9512
216,2023-05-01 18:33:00,5cbba4d0-3c5...,619.14,0,0,0.125,LOW,0.4498,0.9512
217,2023-05-01 18:36:00,59684263-0e0...,6973.56,0,0,0.125,LOW,0.4418,0.9512
218,2023-05-01 18:36:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.5413,0.9512
219,2023-05-01 18:42:00,37d50aaa-0ca...,1424.81,0,0,0.1595,LOW,0.4353,0.9512
220,2023-05-01 18:45:00,3b1e5d03-563...,594829.58,0,0,0.125,LOW,0.4578,0.9512
221,2023-05-01 19:02:00,81697ea2-f5d...,2000.0,0,1,0.644,HIGH,0.5493,0.9512
222,2023-05-01 19:04:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.5573,0.9512
223,2023-05-01 19:10:00,81697ea2-f5d...,3000.0,0,1,0.644,HIGH,0.5653,0.9512
224,2023-05-01 19:10:00,7aee3f20-61f...,565.61,0,0,0.125,LOW,0.4578,0.9512
225,2023-05-01 19:12:00,fceef9b3-981...,124862.16,0,0,0.125,LOW,0.4578,0.9512
226,2023-05-01 19:13:00,81697ea2-f5d...,530.34,0,0,0.644,HIGH,0.5733,0.9512
227,2023-05-01 19:18:00,81697ea2-f5d...,5000.0,0,1,0.644,HIGH,0.5813,0.9512
228,2023-05-01 19:21:00,2ec2dfb2-193...,4182.85,0,0,0.125,LOW,0.4738,0.9512
229,2023-05-01 19:27:00,bbdf6837-aab...,554.72,0,0,0.125,LOW,0.4658,0.9512
230,2023-05-01 19:31:00,9e342a67-6e2...,218.47,0,0,0.125,LOW,0.4738,0.9512
231,2023-05-01 19:35:00,5cbba4d0-3c5...,6969.29,0,0,0.125,LOW,0.4578,0.9512
232,2023-05-01 19:45:00,59684263-0e0...,50815.16,0,0,0.125,LOW,0.4498,0.9512
233,2023-05-01 19:46:00,8df3fb3f-36b...,28733.63,0,0,0.125,LOW,0.4578,0.9512
234,2023-05-01 19:49:00,37d50aaa-0ca...,28031.69,0,0,0.1595,LOW,0.4433,0.9512
235,2023-05-01 19:57:00,3b1e5d03-563...,1011.47,0,0,0.125,LOW,0.4658,0.9512
236,2023-05-01 20:00:00,81697ea2-f5d...,1000.0,0,1,0.644,HIGH,0.5893,0.9512
237,2023-05-01 20:01:00,81697ea2-f5d...,2000.0,0,1,0.644,HIGH,0.5973,0.9512
238,2023-05-01 20:14:00,6ded4d28-8bc...,49476.82,0,0,0.125,LOW,0.4578,0.9512
239,2023-05-01 20:15:00,7aee3f20-61f...,418.02,0,0,0.125,LOW,0.4658,0.9512
240,2023-05-01 20:18:00,fceef9b3-981...,95.42,0,0,0.125,LOW,0.4658,0.9512
241,2023-05-01 20:22:00,81697ea2-f5d...,489.03,0,0,0.644,HIGH,0.6053,0.9512
242,2023-05-01 20:25:00,c991fb7a-f5c...,4004.45,0,0,0.125,LOW,0.4658,0.9512
243,2023-05-01 20:32:00,2ec2dfb2-193...,181116.12,0,0,0.125,LOW,0.4818,0.9512
244,2023-05-01 20:36:00,bbdf6837-aab...,131639.8,0,0,0.125,LOW,0.4738,0.9512
245,2023-05-01 20:40:00,9e342a67-6e2...,585.34,0,0,0.125,LOW,0.4818,0.9512
246,2023-05-01 20:46:00,5cbba4d0-3c5...,526.15,0,0,0.125,LOW,0.4658,0.9512
247,2023-05-01 20:49:00,59684263-0e0...,372.43,0,0,0.125,LOW,0.4578,0.9512
248,2023-05-01 20:51:00,8df3fb3f-36b...,621.72,0,0,0.125,LOW,0.4658,0.9512
249,2023-05-01 21:02:00,37d50aaa-0ca...,1113.55,0,0,0.1595,LOW,0.4513,0.9512
250,2023-05-01 21:05:00,3b1e5d03-563...,1000.65,0,0,0.125,LOW,0.4738,0.9512
251,2023-05-01 21:09:00,7af28f6a-7ed...,14796.05,0,0,0.125,LOW,0.4578,0.9512
252,2023-05-01 21:11:00,800f26bb-ab1...,42468.65,0,0,0.125,LOW,0.4578,0.9512
253,2023-05-01 21:13:00,6ded4d28-8bc...,45041.0,0,0,0.125,LOW,0.4658,0.9512
254,2023-05-01 21:13:00,7aee3f20-61f...,165793.32,0,0,0.125,LOW,0.4738,0.9512
255,2023-05-01 21:14:00,fceef9b3-981...,3840.34,0,0,0.125,LOW,0.4738,0.9512
256,2023-05-01 21:16:00,81697ea2-f5d...,418.76,0,0,0.644,HIGH,0.6133,0.9512
257,2023-05-01 21:21:00,c991fb7a-f5c...,1333.67,0,0,0.125,LOW,0.4738,0.9512
258,2023-05-01 21:22:00,2ec2dfb2-193...,1002.58,0,0,0.125,LOW,0.4898,0.9512
259,2023-05-01 21:32:00,bbdf6837-aab...,512.72,0,0,0.125,LOW,0.4818,0.9512
260,2023-05-01 21:38:00,9e342a67-6e2...,1284.61,0,0,0.125,LOW,0.4898,0.9512
261,2023-05-01 21:43:00,5cbba4d0-3c5...,426.23,0,0,0.125,LOW,0.4738,0.9512
